Team,Player,x,y,xG,Distance,Outcome,Body Part,Shot Type
Arsenal,Alex Oxlade-Chamberlain,106.6,49.3,0.06298616,16.311039206623228,Saved,Right Foot,Open Play
Aston Villa,Adama Traoré Diarra,107.6,54.3,0.08406523,18.9274932307477,Off T,Right Foot,Open Play
Arsenal,Aaron Ramsey,114.6,24.1,0.014339935,16.791962362987835,Off T,Right Foot,Open Play
Arsenal,Héctor Bellerín Moruno,105.8,44.6,0.10026226,14.926486525636236,Saved,Head,Open Play
Manchester City,David Josué Jiménez Silva,98.8,50.3,0.041049615,23.56968391811821,Off T,Left Foot,Open Play
Manchester City,Fernando Luiz Roza,94.7,24.8,0.020903872,29.514911485552513,Off T,Right Foot,Open Play
Manchester City,David Josué Jiménez Silva,108.2,30.2,0.059302077,15.338839591051206,Blocked,Left Foot,Open Play
Manchester City,Kevin De Bruyne,107.2,60.5,0.008411573,24.167953988701647,Blocked,Left Foot,Open Play
Manchester City,Kevin De Bruyne,101.1,56.7,0.02781227,25.221022976873883,Saved,Left Foot,Open Play
Manchester City,Kevin De Bruyne,108.7,53.2,0.13341597,17.376133056580798,Off T,Right Foot,Open Play
Arsenal,Theo Walcott,100.9,25.3,0.034853064,24.101867147588376,Goal,Right Foot,Open Play
Manchester City,Gnégnéri Yaya Touré,111.4,46.8,0.044301234,10.96357605893259,Wayward,Head,Open Play
Arsenal,Olivier Giroud,111.7,26.5,0.10357236,15.847397262642215,Goal,Left Foot,Open Play
Manchester City,Aleksandar Kolarov,91.8,25.4,0.012818143,31.755314515841285,Blocked,Left Foot,Open Play
Manchester City,Sergio Leonel Agüero del Castillo,103.2,37.1,0.1318786,17.048460341039593,Saved,Right Foot,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,111.8,37.5,0.21412638,8.57263086805912,Off T,Left Foot,Open Play
Manchester City,Sergio Leonel Agüero del Castillo,106.3,35.9,0.034098778,14.300349646075095,Saved,Head,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,112.6,53.3,0.071731,15.22005256232711,Saved,Left Foot,Open Play
Arsenal,Aaron Ramsey,111.4,36.2,0.49588525,9.402127418834521,Saved,Right Foot,Open Play
Manchester City,Wilfried Guemiand Bony,109.1,39.9,0.07706488,10.90045870594445,Wayward,Head,Open Play
Manchester City,Aleksandar Kolarov,93.7,18.7,0.006918464,33.84346317976338,Blocked,Left Foot,Open Play
Arsenal,Aaron Ramsey,102.8,36.1,0.09111866,17.636609651517496,Off T,Right Foot,Open Play
Manchester City,Raheem Sterling,99.7,22.5,0.024466073,26.801865606707306,Saved,Right Foot,Open Play
Manchester City,Wilfried Guemiand Bony,109.0,37.3,0.046848908,11.326517558367179,Saved,Head,Open Play
Arsenal,Theo Walcott,94.6,36.2,0.041459296,25.68267898798722,Saved,Right Foot,Open Play
Manchester City,Gnégnéri Yaya Touré,101.1,52.0,0.04421788,22.387719848166768,Goal,Left Foot,Open Play
Arsenal,Aaron Ramsey,109.7,29.4,0.30123034,14.780054127099806,Off T,Left Foot,Open Play
Manchester City,Wilfried Guemiand Bony,104.0,47.3,0.11095885,17.586642658563346,Blocked,Right Foot,Open Play
Manchester City,Wilfried Guemiand Bony,109.5,37.7,0.05624884,10.748953437428222,Off T,Head,Open Play
Manchester City,Gnégnéri Yaya Touré,106.8,35.3,0.35093418,14.011780757633916,Off T,Left Foot,Open Play
Manchester City,Fernando Luiz Roza,89.1,49.3,0.018215073,32.26918034285966,Blocked,Right Foot,Open Play
Arsenal,Ignacio Monreal Eraso,107.6,28.2,0.058628954,17.117242768623694,Off T,Left Foot,Open Play
Arsenal,Joel Nathaniel Campbell Samuels,99.8,52.8,0.040083643,23.914012628582434,Off T,Left Foot,Open Play
Swansea City,Bafétimbi Gomis,110.4,45.9,0.117854,11.268096556206816,Saved,Head,Open Play
Arsenal,Olivier Giroud,104.5,46.9,0.20338157,16.966437457521835,Off T,Left Foot,Open Play
